house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
4 BHK Villa for Rent in Devanahalli Bangalore,Devanahalli,Bangalore,2800.0,4,4,0,Semi-Furnished,36.0,100000.0
4 BHK Villa for Rent in Haralur Main Road Bangalore,Haralur Main Road,Bangalore,3300.0,4,5,0,Furnished,33.0,110000.0
"1 BHK House for Rent in Devinagar, Outer Ring Road Bangalore",Devinagar,Bangalore,500.0,1,1,0,Unfurnished,20.0,10000.0
5 BHK Villa for Rent in Upkar Layout Whitefield Bangalore,Upkar Layout Whitefield,Bangalore,5000.0,5,6,3,Semi-Furnished,24.0,120000.0
"2 BHK Flat for Rent in Koramangala, Bangalore",Koramangala,Bangalore,1200.0,2,2,2,Unfurnished,46.0,55000.0
"3 BHK Flat for Rent in Marathahalli, Bangalore",Marathahalli,Bangalore,1429.0,3,3,3,Unfurnished,40.0,57000.0
"2 BHK Flat for Rent in Devanahalli, Bangalore",Devanahalli,Bangalore,1360.0,2,2,0,Semi-Furnished,22.0,30000.0
"3 BHK Flat for Rent in Attibele, Bangalore",Attibele,Bangalore,1400.0,3,3,0,Furnished,23.0,32000.0
4 BHK Villa for Rent in Sir M Visvesvaraya Inst Road Bangalore,Sir M Visvesvaraya Inst Road,Bangalore,3310.0,4,4,3,Semi-Furnished,57.0,190000.0
"2 BHK Flat for Rent in CV Raman Nagar, Bangalore",C V Raman Nagar,Bangalore,1150.0,2,2,0,Semi-Furnished,30.0,35000.0
2 BHK Villa for Rent in Attibele Bangalore,Attibele,Bangalore,1500.0,2,3,0,Unfurnished,12.0,18000.0
1 BHK House for Rent in Vyalikaval HBCS Layout Nagavara Bangalore,Vyalikaval HBCS Layout,Bangalore,650.0,1,1,0,Semi-Furnished,31.0,20000.0
1 BHK House for Rent in Hongasandra Bangalore,Hongasandra,Bangalore,550.0,1,1,0,Unfurnished,15.0,8000.0
1 BHK House for Rent in RT Nagar Bangalore,RT Nagar,Bangalore,800.0,1,1,0,Semi-Furnished,26.0,21000.0
2 BHK House for Rent in Krishnarajapura Bangalore,KR Puram,Bangalore,1100.0,2,2,0,Semi-Furnished,20.0,22000.0
"3 BHK Flat for Rent in Naganathapura Rayasandra, Bangalore",Naganathapura,Bangalore,1500.0,3,3,0,Semi-Furnished,22.0,33000.0
"3 BHK Flat for Rent in Rachenahalli Main Road, Bangalore",Rachenahalli Main Road,Bangalore,1700.0,3,3,0,Semi-Furnished,26.0,45000.0
"3 BHK Flat for Rent in Kanakapura Road, Bangalore",Kanakapura Road,Bangalore,1500.0,3,3,2,Semi-Furnished,30.0,45000.0
"4 BHK Flat for Rent in Kanakapura Road, Bangalore",Kanakapura Road,Bangalore,2500.0,4,5,2,Semi-Furnished,34.0,85000.0
"2 BHK Flat for Rent in Bidare Agraha, Bangalore",Bidare Agrahara,Bangalore,650.0,2,2,2,Semi-Furnished,27.0,17500.0
4 BHK House for Rent in Stage 2 Indiranagar Bangalore,Indira nagar Stage 2,Bangalore,2000.0,4,4,3,Semi-Furnished,70.0,140000.0
"3 BHK Flat for Rent in Banashankari, Bangalore",Banashankari,Bangalore,2378.0,3,3,0,Semi-Furnished,28.0,66300.0
"2 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",Electronic City Phase 2,Bangalore,918.0,2,2,0,Semi-Furnished,20.0,18000.0
"2 BHK Flat for Rent in Uttarahalli Hobli, Bangalore",Uttarahalli,Bangalore,1280.0,2,2,2,Furnished,24.0,31000.0
"3 BHK Flat for Rent in Hsr Layout, Bangalore",HSR Layout,Bangalore,2400.0,3,3,0,Semi-Furnished,25.0,60000.0
"2 BHK Flat for Rent in Amruthnagar, Bangalore",Amruthnagar,Bangalore,1200.0,2,2,3,Semi-Furnished,18.0,22000.0
4 BHK Villa for Rent in Agrahara Badavane Bangalore,Agrahara Layout,Bangalore,2900.0,4,4,4,Semi-Furnished,22.0,65000.0
2 BHK House for Rent in Hennur Main Road Bangalore,Hennur Main Road,Bangalore,1011.0,2,2,0,Unfurnished,40.0,40000.0
2 BHK House for Rent in Phase 1st JP Nagar Bangalore,Phase 1st JP Nagar,Bangalore,750.0,2,2,2,Semi-Furnished,40.0,30000.0
"3 BHK Flat for Rent in Kanakapura Road, Bangalore",Kanakapura Road,Bangalore,1603.0,3,3,3,Semi-Furnished,35.0,56000.0
"1 BHK House for Rent in Vidhana Soudha Layout, Kaveri Nagar Bangalore",Vidhana Soudha Layout,Bangalore,1000.0,1,1,0,Furnished,13.0,13000.0
2 BHK House for Rent in Byrathi Bangalore,Byrathi,Bangalore,1200.0,2,2,0,Unfurnished,12.0,14000.0
"2 BHK Flat for Rent in CV Raman Nagar, Bangalore",C V Raman Nagar,Bangalore,1090.0,2,2,0,Semi-Furnished,24.0,26000.0
"2 BHK Flat for Rent in Seegehalli Road, Bangalore",Seegehalli Road,Bangalore,1430.0,2,2,2,Unfurnished,21.0,30000.0
"2 BHK Flat for Rent in Tumkur Road, Bangalore",Tumkur Road,Bangalore,495.0,2,2,0,Furnished,26.0,13000.0
2 BHK House for Rent in RK Hegde Nagar Bangalore,Hegde Nagar,Bangalore,750.0,2,2,2,Unfurnished,19.0,14500.0
1 BHK House for Rent in Varthur Bangalore,Varthur,Bangalore,500.0,1,1,0,Semi-Furnished,19.0,9500.0
"3 BHK Flat for Rent in Yelenahalli, Bangalore",Yelenahalli,Bangalore,1400.0,3,3,2,Semi-Furnished,46.0,63900.0
"2 BHK House for Rent in Mcechs Layout, Jakkuru Bangalore",MCECHS Layout,Bangalore,900.0,2,2,0,Semi-Furnished,39.0,35000.0
"3 BHK Flat for Rent in Bommanahalli, Bangalore",Bommanahalli,Bangalore,1600.0,3,2,2,Furnished,56.0,90000.0
3 BHK House for Rent in Vignan Nagar Bangalore,Vignan Nagar,Bangalore,2000.0,3,3,2,Furnished,35.0,70000.0
"2 BHK Flat for Rent in Thanisandra, Bangalore",Thanisandra,Bangalore,945.0,2,1,0,Semi-Furnished,19.0,18000.0
"3 BHK Flat for Rent in Bellary Road, Bangalore",Bellary Road,Bangalore,2636.0,3,4,2,Unfurnished,19.0,50000.0
"2 BHK Flat for Rent in Chikkakannalli, Bangalore",Chikkakannalli,Bangalore,1100.0,2,2,0,Furnished,55.0,60000.0
"3 BHK Flat for Rent in Bommasandra, Bangalore",Bommasandra,Bangalore,1050.0,3,2,3,Semi-Furnished,19.0,20000.0
"3 BHK Flat for Rent in Samethanahalli, Bangalore",Samethanahalli,Bangalore,2000.0,3,3,3,Semi-Furnished,48.0,95000.0
"2 BHK Flat for Rent in Chandapura, Bangalore",Chandapura,Bangalore,1034.0,2,2,2,Furnished,21.0,22000.0
1 BHK House for Rent in Sarjapur Road Bangalore,Sarjapur Road,Bangalore,300.0,1,1,0,Furnished,60.0,18000.0
1 BHK House for Rent in Sector 2 HSR Layout Bangalore,Sector 2 HSR Layout,Bangalore,700.0,1,1,0,Semi-Furnished,31.0,22000.0
2 BHK House for Rent in Kannamangala Bangalore,Kannamangala,Bangalore,900.0,2,2,0,Semi-Furnished,14.0,13000.0
"3 BHK Flat for Rent in Bannerghatta Main Road, Bangalore",Bannerghatta Road,Bangalore,1400.0,3,3,3,Semi-Furnished,39.0,55000.0
2 BHK House for Rent in Sathanur Bangalore,Sathanur,Bangalore,1000.0,2,2,0,Semi-Furnished,16.0,16000.0
"> 10 BHK Flat for Rent in Lakkasandra Extension, Wilson Garden, Bangalore",Lakkasandra Extension,Bangalore,5000.0,10,0,4,Furnished,36.0,180000.0
"2 BHK Flat for Rent in Thanisandra, Bangalore",Thanisandra,Bangalore,1010.0,2,2,3,Semi-Furnished,32.0,32000.0
2 BHK House for Rent in Doddakannelli Bangalore,Doddakannelli,Bangalore,1250.0,2,2,0,Semi-Furnished,30.0,38000.0
2 BHK House for Rent in Manjunatha Nagar Kalkere Bangalore,Manjunatha Nagar Kalkere,Bangalore,1200.0,2,2,0,Semi-Furnished,25.0,30000.0
"2 BHK Flat for Rent in Jakkur, Bangalore",Jakkur,Bangalore,1200.0,2,3,0,Semi-Furnished,27.0,32000.0
